City,Country,Race,Date,StartTime,Participation,Distance,ElevationGain,ElevationLoss,AidStations,Participants
SanMartinDeLosAndes,Argentina,100 Millas,2019-04-12,11:00:00,solo,158,7190,-7190,16,160
POKARAN,India,Ultra Beast  161Km,2019-04-06,06:00:00,solo,162.3,3430,-3430,9,30
???,Taiwan,100 miles,2019-04-06,04:00:00,solo,159.4,7890,-7890,10,10
NA,United States,100 Mi,2019-04-06,00:00:00,solo,0,0,-0,0,0
Kennewick,United States,100 Mile,2019-03-29,07:00:00,solo,158.6,4450,-4430,18,70
Syracuse,United States,100 Mile,2019-03-22,00:00:00,solo,0,0,-0,17,75
Cromwell,New Zealand,100 Mile,2019-03-16,06:00:00,solo,162.4,9810,-9820,12,50
Addo,South Africa,100 Mile,2019-03-15,14:00:00,solo,161.2,5640,-5130,16,100
Magelang,Indonesia,65 Km,2019-10-04,22:00:00,solo,67.4,3620,-3580,4,100
Huangshan,China,170 Km,2019-03-15,07:30:00,solo,171.8,9490,-9480,14,200
Page,United States,100 Mile,2019-03-09,06:00:00,solo,159.4,1850,-1850,10,300
EsMercadal,Spain,TrailRun e3/t2,2019-03-08,08:30:00,team,155,3800,-3580,11,220
Petit-Bourg,France,L'Ultra-Trail®,2019-03-08,18:30:00,solo,161.4,6240,-6240,14,400
PradodelRey,Spain,100 Millas,2019-03-01,18:00:00,solo,164,6720,-6730,14,400
HongKong,"Hong Kong, China",V162,2019-02-23,00:00:00,solo,163.87,8140,-8140,18,300
HongKong,"Hong Kong, China",V162 Team,2019-02-23,00:00:00,team,163.87,8140,-8140,18,40
NA,United States,100M,2019-02-22,00:00:00,solo,0,0,-0,0,0
HongKong,"Hong Kong, China",3-day Race,2019-02-22,08:00:00,solo,163,8140,-8210,16,100
HongKong,"Hong Kong, China",3-day Race Team,2019-02-22,08:00:00,solo,163,8140,-8220,16,20
ElPaso,United States,100M,2019-02-09,05:00:00,solo,158.6,5930,-5850,9,0
Rotorua,New Zealand,100 Mile Endurance Run,2019-02-09,04:00:00,solo,161.4,4890,-4890,14,200
RostovtheGreat,Russia,Ultra Valhalla Race,2019-02-02,16:00:00,solo,159.9,1680,-1680,10,0
Huntsville,United States,100 Mile,2019-02-02,06:00:00,solo,163.1,2260,-2260,19,500
Goodyear,United States,100 Miles,2019-01-19,07:00:00,solo,161.5,2020,-2010,16,400
NA,United States,HURT 100 MILE ENDURANCE RUN,2019-01-19,00:00:00,solo,161,8200,-8200,0,0
WesleyChapel,"FL, United States",100M,2019-01-19,00:00:00,solo,0,0,-0,0,0
RIALP,Spain,MARATÓ,2019-09-14,06:30:00,solo,48.3,3950,-3980,7,300
Edale,United Kingdom,MRT Challenge,2019-01-12,11:00:00,solo,174.2,4770,-4770,4,0
Åsa,Sweden,Ultra Triple,2019-01-11,18:00:00,solo,167,3360,-3220,13,100
TRIESTE,Italy,Ultra,2019-01-05,06:00:00,solo,164.2,6720,-6720,9,150
NT,"Hong Kong, China",UTMT,2019-01-05,08:00:00,solo,155.2,7640,-7620,12,100
